boost_number,base_price,first_boost_amount,penultimate_boost_amount,last_boost_amount,original_driver_supply,penultimate_driver_supply,last_driver_supply,hour_sin,hour_cos,time_to_ride_start,metro_area_DEN,metro_area_DET,metro_area_DFW,metro_area_LAS,metro_area_LAX,metro_area_MCL,metro_area_MSP,metro_area_NYC,metro_area_PDX,metro_area_SDF,metro_area_SFO,metro_area_STL,metro_area_TPA,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
3,10.0,0.0,2.04,1.78,202,203,201,0.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,35.0,0.0,1.67,1.68,242,248,357,0.25881904510252074,0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,14.0,0.0,1.91,1.72,92,102,81,0.49999999999999994,0.8660254037844387,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,25.0,0.0,2.02,1.96,144,138,126,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,48.5,0.0,2.04,1.96,128,138,175,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,10.0,0.0,1.85,1.71,75,78,81,0.9659258262890683,0.25881904510252074,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,14.0,0.0,1.76,1.78,225,230,215,1.0,6.123233995736766e-17,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,48.5,0.0,1.62,2.11,248,187,192,0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,25.0,0.0,2.09,1.78,110,118,141,0.8660254037844388,-0.4999999999999998,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,12.0,0.0,1.74,2.0,206,149,152,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,25.0,0.0,1.97,1.65,214,182,227,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,12.0,0.0,1.87,1.92,146,159,164,0.258819045102521,-0.9659258262890682,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,48.5,0.0,1.73,1.99,125,164,118,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,48.5,0.0,1.79,1.98,133,185,139,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.0,0.0,0.0,0.0,247,247,247,-0.4999999999999998,-0.8660254037844388,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,25.0,0.0,1.58,1.74,359,311,317,-0.7071067811865471,-0.7071067811865479,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16.0,0.0,0.0,2.58,129,129,134,-0.8660254037844384,-0.5000000000000004,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,35.0,0.0,2.03,1.74,161,187,145,-0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,16.0,0.0,1.55,1.91,146,149,184,-1.0,-1.8369701987210297e-16,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,16.0,0.0,3.62,1.9,95,84,83,-0.9659258262890684,0.2588190451025203,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,16.0,0.0,1.55,1.79,284,291,243,-0.8660254037844386,0.5,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,35.0,0.0,0.0,2.13,152,152,150,-0.7071067811865477,0.7071067811865474,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,16.0,0.0,1.94,2.05,133,138,154,-0.5000000000000004,0.8660254037844384,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,12.0,0.0,1.65,2.06,153,147,129,-0.2588190451025215,0.9659258262890681,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,25.0,0.0,0.0,1.54,634,634,697,0.0,1.0,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48.5,0.0,2.24,1.89,96,101,99,0.25881904510252074,0.9659258262890683,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,10.0,0.0,2.03,1.69,137,155,161,0.49999999999999994,0.8660254037844387,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16.0,0.0,1.81,2.58,144,131,129,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48.5,0.0,2.05,1.62,254,206,285,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,16.0,0.0,1.79,1.64,171,162,217,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10.0,0.0,1.64,1.8,137,152,118,1.0,6.123233995736766e-17,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10.0,0.0,2.12,2.2,130,111,120,0.9659258262890683,-0.25881904510252063,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16.0,0.0,1.92,1.87,94,104,91,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,12.0,0.0,1.81,2.0,78,85,96,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48.5,0.0,0.0,1.67,104,104,123,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10.0,0.0,1.55,1.96,161,207,211,0.258819045102521,-0.9659258262890682,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25.0,0.0,1.89,1.76,235,193,214,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,48.5,0.0,2.66,1.79,120,121,125,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,25.0,0.0,2.02,1.8,160,146,164,-0.4999999999999998,-0.8660254037844388,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,48.5,0.0,0.0,0.0,140,140,140,-0.7071067811865471,-0.7071067811865479,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12.0,0.0,0.0,0.0,106,106,106,-0.8660254037844384,-0.5000000000000004,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35.0,0.0,2.03,1.88,118,119,127,-0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14.0,0.0,1.54,1.52,857,878,612,-1.0,-1.8369701987210297e-16,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12.0,0.0,1.58,1.54,801,761,851,-0.9659258262890684,0.2588190451025203,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16.0,0.0,1.57,1.53,787,831,749,-0.8660254037844386,0.5,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14.0,0.0,2.01,1.58,157,159,153,-0.7071067811865477,0.7071067811865474,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,16.0,0.0,0.0,1.94,111,111,112,-0.5000000000000004,0.8660254037844384,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
